date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:35:52	10312/10312	---M--	200	added ('OK')	font/woff2	date:Sat,%2025%20Mar%202023%2015:39:59%20GMT	https://fonts.shopifycdn.com/poppins/poppins_i6.672e5321078e70c7e1abdba4d92995c37fb35eae.woff2?h1=c2hvcG9ubGluZTMwMTYuYWNjb3VudC5teXNob3BpZnkuY29t&h2=c2hvcG9ubGluZS5sYW5k&hmac=53b2d9db93e1c4d1a881fdbdabd60cd96d44274765e7dcd827c324953a0bf76a	/home/usuario/websites/relogio/fonts.shopifycdn.com/poppins/poppins_i6.672e5321078e70c7e1abdba4d92995c37fb35eae03bf.woff2	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:53	9128/9128	---M--	200	added ('OK')	font/woff2	date:Tue,%2021%20Mar%202023%2006:15:40%20GMT	https://fonts.shopifycdn.com/poppins/poppins_n4.934accbf9f5987aa89334210e6c1e9151f37d3b6.woff2?h1=c2hvcG9ubGluZTMwMTYuYWNjb3VudC5teXNob3BpZnkuY29t&h2=c2hvcG9ubGluZS5sYW5k&hmac=ea8ecb79554fec03e69bf7f264ce5beb820103f7e58fea8a698fc0db2552ab04	/home/usuario/websites/relogio/fonts.shopifycdn.com/poppins/poppins_n4.934accbf9f5987aa89334210e6c1e9151f37d3b646f0.woff2	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:54	8944/8944	---M--	200	added ('OK')	font/woff2	date:Tue,%2021%20Mar%202023%2005:13:50%20GMT	https://fonts.shopifycdn.com/poppins/poppins_n7.58aca33913fc6666cc9e8a53f6b16ec5c3c05a3f.woff2?h1=c2hvcG9ubGluZTMwMTYuYWNjb3VudC5teXNob3BpZnkuY29t&h2=c2hvcG9ubGluZS5sYW5k&hmac=5fce73e95f66909993513190aee4e02a284571ccab4b7e8cd3b1ca6cee188821	/home/usuario/websites/relogio/fonts.shopifycdn.com/poppins/poppins_n7.58aca33913fc6666cc9e8a53f6b16ec5c3c05a3f2db1.woff2	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:55	10200/10200	---M--	200	added ('OK')	font/woff2	date:Sat,%2025%20Mar%202023%2015:39:52%20GMT	https://fonts.shopifycdn.com/poppins/poppins_i4.a7e8d886e15d5fb9bc964a53b3278effbf270e9c.woff2?h1=c2hvcG9ubGluZTMwMTYuYWNjb3VudC5teXNob3BpZnkuY29t&h2=c2hvcG9ubGluZS5sYW5k&hmac=bb1d34f15d48f7ee7677d4e9045b0286023d2e97f59d76f625fb6b451da48a46	/home/usuario/websites/relogio/fonts.shopifycdn.com/poppins/poppins_i4.a7e8d886e15d5fb9bc964a53b3278effbf270e9cf26b.woff2	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:56	10100/10100	---M--	200	added ('OK')	font/woff2	date:Sat,%2025%20Mar%202023%2015:39:51%20GMT	https://fonts.shopifycdn.com/poppins/poppins_i7.4f85a5d51a1aecf426eea47ac4570ef7341bfdc1.woff2?h1=c2hvcG9ubGluZTMwMTYuYWNjb3VudC5teXNob3BpZnkuY29t&h2=c2hvcG9ubGluZS5sYW5k&hmac=850ec0d239337ea7f9d9bb0e908fa80c29873db374016a248f5c472d388c8c28	/home/usuario/websites/relogio/fonts.shopifycdn.com/poppins/poppins_i7.4f85a5d51a1aecf426eea47ac4570ef7341bfdc10b34.woff2	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2006:35:57%20GMT	http://cdn.shopify.com/s/files/1/0711/9618/0758/t/5/assets/font-theme-star.woff2?v=176977276741202493121678723799	/home/usuario/websites/relogio/cdn.shopify.com/s/files/1/0711/9618/0758/t/5/assets/font-theme-star.f8b84.delayed	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:58	23387/23387	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b5b-mazjNSl1ItDUIIJy3TRtzgvo1Yw%22	https://cdn.jsdelivr.net/npm/css-vars-ponyfill@2	/home/usuario/websites/relogio/cdn.jsdelivr.net/npm/css-vars-ponyfill@2	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:36:00	7875/7875	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:048e47776118852f46ebb43efdf04d01	https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades.oembed	/home/usuario/websites/relogio/www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades.oembed	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:36:00	744/744	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20Mar%202023%2017:55:25%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-packages~Information~NoAddressLocation~Payment~PostPurchase~Review~Shipping~ShopPay~Sho~cf13f96e.latest.pt-BR.04837ae4ff5a8e949953.js	/home/usuario/websites/relogio/cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-packages_Information_NoAddressLocation_Payment_PostPurchase_Review_Shipping_ShopPay_Sho_cf13f96e.latest.pt-BR.04837ae4ff5a8e949953.js	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:36:02	48475/48475	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20Mar%202023%2017:17:42%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/Information~Payment~ShopPay.latest.pt-BR.1ee94bfe955890953915.js	/home/usuario/websites/relogio/cdn.shopify.com/shopifycloud/checkout-web/assets/Information_Payment_ShopPay.latest.pt-BR.1ee94bfe955890953915.js	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
